processors:2,works:25000,duration_sec:120.566,startCriterion:3897523497,bestCriterion:1938551589,law:1
processors:2,works:25000,duration_sec:175.473,startCriterion:3905679530,bestCriterion:1941647934,law:0
processors:2,works:25000,duration_sec:143.762,startCriterion:3911858700,bestCriterion:1942909173,law:2
processors:2,works:25000,duration_sec:126.754,startCriterion:3901158167,bestCriterion:1939024141,law:1
processors:2,works:25000,duration_sec:136.442,startCriterion:3921665953,bestCriterion:1947724614,law:0
processors:2,works:25000,duration_sec:137.971,startCriterion:3902654006,bestCriterion:1937778869,law:2
processors:2,works:25000,duration_sec:136.775,startCriterion:3895337666,bestCriterion:1934108060,law:1
processors:2,works:25000,duration_sec:133.546,startCriterion:3919035558,bestCriterion:1943168145,law:0
processors:2,works:25000,duration_sec:91.588,startCriterion:3911194235,bestCriterion:1945934117,law:2
processors:2,works:25000,duration_sec:116.35,startCriterion:3903252706,bestCriterion:1943344556,law:1
processors:2,works:25000,duration_sec:178.001,startCriterion:3902829542,bestCriterion:1936003726,law:0
processors:2,works:25000,duration_sec:142.783,startCriterion:3899448763,bestCriterion:1939591295,law:2
processors:2,works:25000,duration_sec:131.892,startCriterion:3919699813,bestCriterion:1944456331,law:1
processors:2,works:25000,duration_sec:136.976,startCriterion:3918916507,bestCriterion:1942631798,law:0
processors:2,works:25000,duration_sec:175.359,startCriterion:3915445709,bestCriterion:1939432477,law:2
processors:2,works:30000,duration_sec:157.381,startCriterion:5632746522,bestCriterion:2800345641,law:1
processors:2,works:30000,duration_sec:192.52,startCriterion:5649934875,bestCriterion:2801414900,law:0
processors:2,works:30000,duration_sec:174.122,startCriterion:5627438432,bestCriterion:2802461157,law:2
processors:2,works:30000,duration_sec:149.07,startCriterion:5605570416,bestCriterion:2794867364,law:1
processors:2,works:30000,duration_sec:195.149,startCriterion:5632335797,bestCriterion:2800124622,law:0
processors:2,works:30000,duration_sec:167.755,startCriterion:5617058398,bestCriterion:2800905278,law:2
processors:2,works:30000,duration_sec:288.23,startCriterion:5638048183,bestCriterion:2797486614,law:1
processors:2,works:30000,duration_sec:191.525,startCriterion:5627835286,bestCriterion:2803122558,law:0
processors:2,works:30000,duration_sec:170.564,startCriterion:5625214405,bestCriterion:2805012892,law:2
processors:2,works:30000,duration_sec:133.589,startCriterion:5617622510,bestCriterion:2796834632,law:1
processors:2,works:30000,duration_sec:195.766,startCriterion:5629498438,bestCriterion:2798139972,law:0
processors:2,works:30000,duration_sec:175.679,startCriterion:5631499361,bestCriterion:2793679395,law:2
processors:2,works:30000,duration_sec:158.702,startCriterion:5635482956,bestCriterion:2803100018,law:1
processors:2,works:30000,duration_sec:212.557,startCriterion:5633262334,bestCriterion:2796724857,law:0
processors:2,works:30000,duration_sec:144.384,startCriterion:5643263602,bestCriterion:2816432339,law:2
processors:4,works:25000,duration_sec:84.3203,startCriterion:3887600620,bestCriterion:966844822,law:1
processors:4,works:25000,duration_sec:63.1738,startCriterion:3900975516,bestCriterion:973479006,law:0
processors:4,works:25000,duration_sec:77.3857,startCriterion:3926354432,bestCriterion:973379224,law:2
processors:4,works:25000,duration_sec:88.8077,startCriterion:3910010475,bestCriterion:971641131,law:1
